Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

145   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	31	0x1.0577d2a7911e7p-17	28	0x1.358fddbcebed3p+5	1	37887240	gamma	gamma electron 
148   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	57	0x1.5ac1166c7302bp-18	57	0x1.0edfc9934cb02p+5	1	37887240	gamma	gamma electron 
152   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	56	0x1.2db81e73d8455p-17	63	0x1.5d2c2c8d460c7p+5	1	37887240	gamma	gamma electron 
156   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	54	0x1.c740a24071dd1p-18	46	0x1.b0d1917857da6p+5	1	37887240	gamma	gamma electron 
157   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	71	0x1.0c9d404510172p-17	53	0x1.59ba07fb8f2c8p+5	1	37887240	gamma	gamma electron 
162   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	52	0x1.f3a73b9513112p-18	59	0x1.8d75227b3850ep+5	1	37887240	gamma	gamma electron 
163   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	58	0x1.721f0108ce6d6p-18	62	0x1.5fab5eb66419cp+5	1	37887240	gamma	gamma electron 
165   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91932p-6	25	0x1.7aab9eacc2d3fp-10	91	0x1.4ddce43c65dd5p+5	1	37887240	gamma	gamma electron 
170   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	61	0x1.6927e59bdb1a5p-18	67	0x1.4073d5c2b9f19p+5	1	37887240	gamma	gamma electron 
172   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91933p-6	22	0x1.7baca8f63e1a6p-18	28	0x1.a47817e91adacp+5	1	37887240	gamma	gamma electron 
176   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	86	0x1.eed685d3f86efp-14	59	0x1.525c8f3feecd6p+5	1	37887240	gamma	gamma electron 
177   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	58	0x1.fc1fc4fadd8a8p-9	124	0x1.73a18ed9784e3p+5	1	37887240	gamma	gamma electron 
179   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	55	0x1.5fb7dbfc385fep-18	64	0x1.e0f27de870cf3p+5	1	37887240	gamma	gamma electron 
180   	0x1.eb851eb851eb9p-5	0x1.d849383f6d988p-5	54	0x1.11ebfc50c2f1bp-15	62	0x1.923f50b509699p+5	1	37887240	gamma	gamma electron 
182   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dccp-6	37	0x1.1709fb5a1e051p-17	28	0x1.2344a243a0dap+5	1	37887240	gamma	gamma electron 
190   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	46	0x1.512e00b644009p-18	57	0x1.afdce9a972f4ep+5	1	37887240	gamma	gamma electron 
193   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91935p-6	27	0x1.506fc5c7c5e6dp-18	15	0x1.001f0d60c977ap+6	1	37887240	gamma	gamma electron 
