INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
EN
 60.        4.1000E+00 2.0000E-01 7.4310E-04 1.8950E-04
 60.        4.3000E+00 2.0000E-01 5.3420E-04 1.9030E-04
 60.        4.5000E+00 2.0000E-01 6.2070E-04 1.7170E-04
 60.        4.7000E+00 2.0000E-01 6.2470E-04 1.6830E-04
 60.        4.9000E+00 2.0000E-01 6.2130E-04 1.6210E-04
 60.        5.2500E+00 5.0000E-01 5.5140E-04 9.3390E-05
 60.        5.7500E+00 5.0000E-01 5.4110E-04 9.8350E-05
 60.        6.2500E+00 5.0000E-01 4.4010E-04 8.0250E-05
 60.        6.7500E+00 5.0000E-01 4.1420E-04 7.6040E-05
 60.        7.2500E+00 5.0000E-01 3.7600E-04 7.3560E-05
 60.        7.7500E+00 5.0000E-01 3.4070E-04 6.8810E-05
 60.        8.2500E+00 5.0000E-01 3.7640E-04 6.5330E-05
 60.        8.7500E+00 5.0000E-01 3.0880E-04 6.1680E-05
 60.        9.2500E+00 5.0000E-01 3.1370E-04 5.7460E-05
 60.        9.7500E+00 5.0000E-01 3.1620E-04 6.1220E-05
 60.        1.0750E+01 1.0000E+00 3.0440E-04 3.8960E-05
 60.        1.1500E+01 1.0000E+00 2.8180E-04 3.7780E-05
 60.        1.2500E+01 1.0000E+00 2.3610E-04 3.6050E-05
 60.        1.3500E+01 1.0000E+00 2.1940E-04 3.5120E-05
 60.        1.4500E+01 1.0000E+00 2.2460E-04 3.4570E-05
 60.        1.5500E+01 1.0000E+00 2.4290E-04 3.3490E-05
 60.        1.6500E+01 1.0000E+00 2.1640E-04 3.2970E-05
 60.        1.7500E+01 1.0000E+00 1.8670E-04 3.3310E-05
 60.        1.8500E+01 1.0000E+00 2.2530E-04 3.2620E-05
 60.        1.9500E+01 1.0000E+00 2.0000E-04 3.2070E-05
 60.        2.1000E+01 2.0000E+00 1.9040E-04 2.0910E-05
 60.        2.3000E+01 2.0000E+00 1.6140E-04 1.9570E-05
 60.        2.5000E+01 2.0000E+00 1.6860E-04 1.8950E-05
 60.        2.7000E+01 2.0000E+00 1.4540E-04 1.7990E-05
 60.        2.9000E+01 2.0000E+00 1.2710E-04 1.7650E-05
 60.        3.1000E+01 2.0000E+00 1.4110E-04 1.7660E-05
 60.        3.3000E+01 2.0000E+00 1.3110E-04 1.7040E-05
 60.        3.5000E+01 2.0000E+00 1.4600E-04 2.0290E-05
 60.        3.7000E+01 2.0000E+00 1.3380E-04 1.9400E-05
 60.        3.9000E+01 2.0000E+00 1.3850E-04 1.8900E-05
 60.        4.1000E+01 2.0000E+00 1.3310E-04 1.7940E-05
 60.        4.3000E+01 2.0000E+00 1.4650E-04 1.7710E-05
 60.        4.5000E+01 2.0000E+00 1.3570E-04 1.7450E-05
 60.        4.7000E+01 2.0000E+00 1.4290E-04 1.6970E-05
 60.        4.9000E+01 2.0000E+00 1.3450E-04 1.6190E-05
 60.        5.2500E+01 5.0000E+00 1.2900E-04 1.0180E-05
 60.        5.7500E+01 5.0000E+00 1.3150E-04 9.8360E-06
 60.        6.2500E+01 5.0000E+00 1.2140E-04 9.5690E-06
 60.        6.7500E+01 5.0000E+00 1.1700E-04 9.2460E-06
 60.        7.2500E+01 5.0000E+00 1.2390E-04 9.1960E-06
 60.        7.7500E+01 5.0000E+00 1.0950E-04 8.8180E-06
 60.        8.2500E+01 5.0000E+00 9.9990E-05 8.6430E-06
 60.        8.7500E+01 5.0000E+00 1.0970E-04 8.5550E-06
 60.        9.2500E+01 5.0000E+00 9.9830E-05 8.1890E-06
 60.        9.7500E+01 5.0000E+00 9.3140E-05 7.7960E-06
 60.        1.0750E+02 1.0000E+01 9.0020E-05 5.3490E-06
 60.        1.1500E+02 1.0000E+01 9.3530E-05 5.2050E-06
 60.        1.2500E+02 1.0000E+01 8.3260E-05 4.9030E-06
 60.        1.3500E+02 1.0000E+01 7.7570E-05 4.7490E-06
 60.        1.4500E+02 1.0000E+01 7.4320E-05 4.5760E-06
 60.        1.5500E+02 1.0000E+01 6.8990E-05 4.4060E-06
 60.        1.6500E+02 1.0000E+01 5.9360E-05 4.1180E-06
 60.        1.7500E+02 1.0000E+01 5.4670E-05 4.0290E-06
 60.        1.8500E+02 1.0000E+01 5.1150E-05 3.9170E-06
 60.        1.9500E+02 1.0000E+01 4.4840E-05 3.7470E-06
 60.        2.1000E+02 2.0000E+01 3.6590E-05 2.5260E-06
 60.        2.3000E+02 2.0000E+01 2.2300E-05 2.1750E-06
 60.        2.5000E+02 2.0000E+01 1.8500E-05 2.0200E-06
 60.        2.7000E+02 2.0000E+01 1.2060E-05 1.7860E-06
 60.        2.9000E+02 2.0000E+01 7.3510E-06 1.6310E-06
