INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,102,310,198907)
           (R,LA-11518,198903)
AUTHOR     (M.M.MEIER,D.A.CLARK,C.A.GOULDING,J.B.MCCLELLAND,
           G.L.MORGAN,C.E.MOSS,W.B.AMIAN)
TITLE      Differential Neutron Production Cross Sections and
            Neutron Yields from Stopping-Length Targets for
            113-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections by M. Meier, 21 May
 30.        2.1000E+01 2.0000E+00 3.6130E-04 6.0960E-06
 30.        2.3000E+01 2.0000E+00 3.6870E-04 6.1620E-06
 30.        2.5000E+01 2.0000E+00 3.6220E-04 6.2800E-06
 30.        2.7000E+01 2.0000E+00 3.8350E-04 6.5220E-06
 30.        2.9000E+01 2.0000E+00 3.8200E-04 6.7080E-06
 30.        3.1000E+01 2.0000E+00 3.9800E-04 6.9000E-06
 30.        3.3000E+01 2.0000E+00 3.8430E-04 6.9930E-06
 30.        3.5000E+01 2.0000E+00 4.1030E-04 1.0000E-05
 30.        3.7000E+01 2.0000E+00 4.1990E-04 1.0160E-05
 30.        3.9000E+01 2.0000E+00 4.1470E-04 1.0130E-05
 30.        4.1000E+01 2.0000E+00 4.4450E-04 1.0410E-05
 30.        4.3000E+01 2.0000E+00 4.4130E-04 1.0450E-05
 30.        4.5000E+01 2.0000E+00 4.3880E-04 1.0570E-05
 30.        4.7000E+01 2.0000E+00 4.5660E-04 1.0830E-05
 30.        4.9000E+01 2.0000E+00 4.7860E-04 1.1100E-05
 30.        5.2500E+01 5.0000E+00 4.9730E-04 7.2370E-06
 30.        5.7500E+01 5.0000E+00 4.8660E-04 7.3440E-06
 30.        6.2500E+01 5.0000E+00 4.9280E-04 7.6010E-06
 30.        6.7500E+01 5.0000E+00 4.4770E-04 7.3440E-06
 30.        7.2500E+01 5.0000E+00 3.9960E-04 7.0330E-06
 30.        7.7500E+01 5.0000E+00 3.4070E-04 6.6570E-06
 30.        8.2500E+01 5.0000E+00 3.8750E-04 7.1060E-06
 30.        8.7500E+01 5.0000E+00 3.0960E-04 6.4220E-06
 30.        9.2500E+01 5.0000E+00 7.2700E-05 3.3710E-06
 30.        9.7500E+01 5.0000E+00 5.4820E-06 1.2280E-06
 60.        8.2500E-01 5.0000E-01 6.5920E-05 0.0
