TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 5.2400E+00 1.2000E+02 1.3680E+01 6.4000E-01
 5.2400E+00 1.5000E+02 1.3090E+01 6.5000E-01
 5.4400E+00 3.0000E+01 2.2980E+01 1.5500E+00
 5.4400E+00 6.0000E+01 1.5100E+01 6.9000E-01
 5.4400E+00 9.0000E+01 1.2620E+01 5.9000E-01
 5.4400E+00 1.2000E+02 1.2360E+01 5.9000E-01
 5.4400E+00 1.5000E+02 1.1770E+01 6.0000E-01
 5.6500E+00 3.0000E+01 2.2890E+01 1.5100E+00
 5.6500E+00 6.0000E+01 1.3370E+01 6.2000E-01
 5.6500E+00 9.0000E+01 1.1250E+01 5.4000E-01
 5.6500E+00 1.2000E+02 1.1220E+01 5.5000E-01
 5.6500E+00 1.5000E+02 1.0510E+01 5.4000E-01
 5.8100E+00 3.0000E+01 2.2580E+01 1.5100E+00
 5.8100E+00 6.0000E+01 1.2600E+01 5.9000E-01
 5.8100E+00 9.0000E+01 1.0150E+01 5.0000E-01
 5.8100E+00 1.2000E+02 1.0080E+01 5.0000E-01
 5.8100E+00 1.5000E+02 9.6900E+00 4.9000E-01
 5.9800E+00 3.0000E+01 2.2540E+01 1.5200E+00
 5.9800E+00 6.0000E+01 1.2050E+01 5.7000E-01
 5.9800E+00 9.0000E+01 9.5400E+00 4.7000E-01
 5.9800E+00 1.2000E+02 9.0600E+00 4.7000E-01
 5.9800E+00 1.5000E+02 9.1000E+00 4.7000E-01
 6.2200E+00 3.0000E+01 2.2670E+01 1.5200E+00
 6.2200E+00 6.0000E+01 1.1630E+01 5.6000E-01
 6.2200E+00 9.0000E+01 8.6600E+00 4.3000E-01
 6.2200E+00 1.2000E+02 7.3300E+00 3.8000E-01
 6.2200E+00 1.5000E+02 8.7100E+00 4.7000E-01
 6.4100E+00 3.0000E+01 2.2140E+01 1.4500E+00
 6.4100E+00 6.0000E+01 1.0930E+01 5.2000E-01
 6.4100E+00 9.0000E+01 8.2500E+00 4.1000E-01
 6.4100E+00 1.2000E+02 7.1700E+00 3.8000E-01
 6.4100E+00 1.5000E+02 7.6500E+00 4.2000E-01
 6.6100E+00 3.0000E+01 2.2420E+01 1.4400E+00
 6.6100E+00 6.0000E+01 1.0250E+01 5.0000E-01
 6.6100E+00 9.0000E+01 7.4900E+00 3.8000E-01
 6.6100E+00 1.2000E+02 6.6600E+00 3.5000E-01
 6.6100E+00 1.5000E+02 6.9100E+00 3.9000E-01
 6.8200E+00 3.0000E+01 2.2850E+01 1.5000E+00
 6.8200E+00 6.0000E+01 1.0020E+01 4.9000E-01
 6.8200E+00 9.0000E+01 6.6500E+00 3.5000E-01
 6.8200E+00 1.2000E+02 6.2300E+00 3.4000E-01
 6.8200E+00 1.5000E+02 6.1300E+00 3.5000E-01
 6.9700E+00 3.0000E+01 2.2490E+01 1.4200E+00
 6.9700E+00 6.0000E+01 9.6600E+00 4.7000E-01
 6.9700E+00 9.0000E+01 6.4300E+00 3.3000E-01
 6.9700E+00 1.2000E+02 5.9000E+00 3.4000E-01
 6.9700E+00 1.5000E+02 5.8600E+00 3.3000E-01
 7.2000E+00 3.0000E+01 2.2140E+01 1.3200E+00
 7.2000E+00 6.0000E+01 9.0900E+00 4.5000E-01
 7.2000E+00 9.0000E+01 5.8100E+00 3.2000E-01
 7.2000E+00 1.2000E+02 4.8800E+00 2.7000E-01
 7.2000E+00 1.5000E+02 5.3700E+00 3.2000E-01
 7.4300E+00 3.0000E+01 2.2260E+01 1.2900E+00
 7.4300E+00 6.0000E+01 8.4800E+00 4.2000E-01
 7.4300E+00 9.0000E+01 4.9900E+00 2.8000E-01
 7.4300E+00 1.2000E+02 4.7400E+00 2.9000E-01
 7.4300E+00 1.5000E+02 5.3600E+00 3.2000E-01
 7.6000E+00 3.0000E+01 2.2460E+01 1.3300E+00
 7.6000E+00 6.0000E+01 8.3100E+00 4.1000E-01
 7.6000E+00 9.0000E+01 4.8100E+00 2.6000E-01
 7.6000E+00 1.2000E+02 4.3200E+00 2.5000E-01
 7.6000E+00 1.5000E+02 4.6500E+00 2.9000E-01
 7.7700E+00 3.0000E+01 2.2140E+01 1.2800E+00
 7.7700E+00 6.0000E+01 7.9100E+00 3.9000E-01
 7.7700E+00 9.0000E+01 4.6200E+00 2.6000E-01
 7.7700E+00 1.2000E+02 3.8300E+00 2.3000E-01
 7.7700E+00 1.5000E+02 4.2600E+00 2.9000E-01
 7.9500E+00 3.0000E+01 2.1650E+01 1.2200E+00
 7.9500E+00 6.0000E+01 7.6100E+00 3.8000E-01
 7.9500E+00 9.0000E+01 4.2900E+00 2.5000E-01
