Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0228198  position[mm]: (347.497,145.057,-677.142)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0302648  position[mm]: (361.486,150.402,-610.215)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00463264  position[mm]: (363.592,151.23,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00636922  position[mm]: (493.243,201.52,23.4679)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00334475  position[mm]: (494.754,202.102,30.5482)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0519026  position[mm]: (522.593,212.76,160.04)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0187735  position[mm]: (531.131,215.933,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00787717  position[mm]: (639.979,260.037,820.354)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00854323  position[mm]: (645.27,262.293,850.271)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0158576  position[mm]: (650.565,264.549,880.419)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00217615  position[mm]: (651.447,264.93,885.443)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00787924  position[mm]: (654.643,266.291,903.553)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.014809  position[mm]: (662.222,269.614,946.622)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00671089  position[mm]: (665.442,271.019,965.007)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00856734  position[mm]: (671.593,273.693,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0146239  position[mm]: (784.524,323.996,1640.75)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00974988  position[mm]: (787.74,325.349,1658.64)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0010731  position[mm]: (788.261,325.569,1661.53)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.022719  position[mm]: (798.269,329.745,1716.99)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0131155  position[mm]: (804.576,332.433,1751.58)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0016985  position[mm]: (805.213,332.704,1755.1)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0162396  position[mm]: (813.308,336.182,1800)
  trackID: 75  chamberNb: 4  energy deposit[MeV]: 0.00577999  position[mm]: (805.548,332.723,1755.09)
  trackID: 75  chamberNb: 4  energy deposit[MeV]: 0.00859865  position[mm]: (805.497,332.638,1755.19)
  trackID: 75  chamberNb: 4  energy deposit[MeV]: 0.00196865  position[mm]: (805.484,332.637,1755.19)
  trackID: 93  chamberNb: 4  energy deposit[MeV]: 0.00185044  position[mm]: (805.541,332.732,1755.09)
  trackID: 74  chamberNb: 4  energy deposit[MeV]: 0.00722371  position[mm]: (804.56,332.512,1751.58)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.000967335  position[mm]: (798.183,329.668,1717.03)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.000256813  position[mm]: (798.153,329.574,1716.99)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.0038255  position[mm]: (798.153,329.493,1716.91)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.00129512  position[mm]: (798.126,329.484,1716.9)
  trackID: 73  chamberNb: 4  energy deposit[MeV]: 0.00233452  position[mm]: (798.123,329.483,1716.89)
  trackID: 96  chamberNb: 4  energy deposit[MeV]: 0.001665  position[mm]: (798.15,329.503,1716.91)
  trackID: 95  chamberNb: 4  energy deposit[MeV]: 0.00241161  position[mm]: (798.148,329.562,1717.01)
  trackID: 94  chamberNb: 4  energy deposit[MeV]: 0.00152836  position[mm]: (798.179,329.666,1717.04)
  trackID: 72  chamberNb: 4  energy deposit[MeV]: 0.00171771  position[mm]: (788.268,325.579,1661.63)
  trackID: 71  chamberNb: 4  energy deposit[MeV]: 0.00142113  position[mm]: (788.254,325.574,1661.53)
  trackID: 70  chamberNb: 4  energy deposit[MeV]: 0.00413841  position[mm]: (787.762,325.321,1658.64)
  trackID: 69  chamberNb: 4  energy deposit[MeV]: 0.00165644  position[mm]: (784.517,324.005,1640.75)
  trackID: 53  chamberNb: 3  energy deposit[MeV]: 0.0110368  position[mm]: (665.445,271.228,965.016)
  trackID: 53  chamberNb: 3  energy deposit[MeV]: 0.00232172  position[mm]: (665.436,271.227,965.002)
  trackID: 52  chamberNb: 3  energy deposit[MeV]: 0.00169816  position[mm]: (662.225,269.603,946.623)
  trackID: 51  chamberNb: 3  energy deposit[MeV]: 0.0038221  position[mm]: (654.621,266.314,903.558)
  trackID: 50  chamberNb: 3  energy deposit[MeV]: 0.00149227  position[mm]: (651.457,264.931,885.442)
  trackID: 49  chamberNb: 3  energy deposit[MeV]: 0.00239065  position[mm]: (645.253,262.296,850.275)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.00520873  position[mm]: (639.445,254.031,828.319)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.044561  position[mm]: (601.395,181.458,945.006)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.0190435  position[mm]: (594.263,162.142,968.76)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.0205761  position[mm]: (582.738,125.897,985.593)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.00514542  position[mm]: (579.079,110.755,996.788)
  trackID: 48  chamberNb: 3  energy deposit[MeV]: 0.00239779  position[mm]: (577.288,105.453,1000)
  trackID: 48  chamberNb: 4  energy deposit[MeV]: 0.00555027  position[mm]: (289.766,-400.076,1621.12)
  trackID: 48  chamberNb: 4  energy deposit[MeV]: 0.0229104  position[mm]: (262.671,-400.758,1662.61)
  trackID: 48  chamberNb: 4  energy deposit[MeV]: 0.0375584  position[mm]: (212.477,-413.939,1691.52)
