TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (73-TA-181(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     TA-181(99.9 PERCENT).THICKNESS OF FOIL=19.86E-2G/CM**2
EN         EN-ERR
MEV        MEV
 2.2300E+01 3.0000E-01
EDATA                 4        385
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 6.4100E+00 6.0000E+01 8.5200E+00 4.1000E-01
 6.4100E+00 9.0000E+01 5.1200E+00 2.7000E-01
 6.4100E+00 1.2000E+02 3.7500E+00 2.3000E-01
 6.4100E+00 1.5000E+02 3.5400E+00 2.6000E-01
 6.6100E+00 3.0000E+01 2.0120E+01 8.7000E-01
 6.6100E+00 6.0000E+01 8.0300E+00 3.9000E-01
 6.6100E+00 9.0000E+01 4.8300E+00 2.6000E-01
 6.6100E+00 1.2000E+02 3.3900E+00 2.1000E-01
 6.6100E+00 1.5000E+02 3.0300E+00 2.2000E-01
 6.8200E+00 3.0000E+01 1.9810E+01 8.6000E-01
 6.8200E+00 6.0000E+01 7.8900E+00 3.8000E-01
 6.8200E+00 9.0000E+01 4.4400E+00 2.4000E-01
 6.8200E+00 1.2000E+02 3.1100E+00 2.0000E-01
 6.8200E+00 1.5000E+02 2.8900E+00 2.1000E-01
 6.9700E+00 3.0000E+01 1.9330E+01 8.3000E-01
 6.9700E+00 6.0000E+01 7.8000E+00 3.8000E-01
 6.9700E+00 9.0000E+01 4.2900E+00 2.3000E-01
 6.9700E+00 1.2000E+02 2.9300E+00 2.0000E-01
 6.9700E+00 1.5000E+02 2.8200E+00 2.0000E-01
 7.2000E+00 3.0000E+01 1.9200E+01 8.4000E-01
 7.2000E+00 6.0000E+01 7.3600E+00 3.6000E-01
 7.2000E+00 9.0000E+01 4.0000E+00 2.2000E-01
 7.2000E+00 1.2000E+02 2.6400E+00 1.7000E-01
 7.2000E+00 1.5000E+02 2.6400E+00 2.2000E-01
 7.4300E+00 3.0000E+01 1.7770E+01 7.7000E-01
 7.4300E+00 6.0000E+01 6.7300E+00 3.4000E-01
 7.4300E+00 9.0000E+01 3.9600E+00 2.2000E-01
 7.4300E+00 1.2000E+02 2.6100E+00 1.7000E-01
 7.4300E+00 1.5000E+02 2.0800E+00 1.7000E-01
 7.6000E+00 3.0000E+01 1.8220E+01 8.0000E-01
 7.6000E+00 6.0000E+01 6.7000E+00 3.3000E-01
 7.6000E+00 9.0000E+01 3.6500E+00 2.1000E-01
 7.6000E+00 1.2000E+02 2.4800E+00 1.7000E-01
 7.6000E+00 1.5000E+02 2.0100E+00 1.6000E-01
 7.7700E+00 3.0000E+01 1.7590E+01 7.7000E-01
 7.7700E+00 6.0000E+01 6.2300E+00 3.1000E-01
 7.7700E+00 9.0000E+01 3.1500E+00 1.9000E-01
 7.7700E+00 1.2000E+02 2.2000E+00 1.6000E-01
 7.7700E+00 1.5000E+02 2.1200E+00 1.8000E-01
 7.9500E+00 3.0000E+01 1.7260E+01 7.5000E-01
 7.9500E+00 6.0000E+01 6.0900E+00 3.0000E-01
 7.9500E+00 9.0000E+01 3.0100E+00 1.8000E-01
 7.9500E+00 1.2000E+02 1.9700E+00 1.4000E-01
 7.9500E+00 1.5000E+02 1.9600E+00 1.7000E-01
 8.1300E+00 3.0000E+01 1.6450E+01 7.2000E-01
 8.1300E+00 6.0000E+01 5.6800E+00 2.9000E-01
 8.1300E+00 9.0000E+01 2.9800E+00 1.7000E-01
 8.1300E+00 1.2000E+02 2.0500E+00 1.4000E-01
 8.1300E+00 1.5000E+02 1.8200E+00 1.6000E-01
 8.3200E+00 3.0000E+01 1.6120E+01 7.1000E-01
 8.3200E+00 6.0000E+01 5.5500E+00 2.8000E-01
 8.3200E+00 9.0000E+01 2.7200E+00 1.6000E-01
 8.3200E+00 1.2000E+02 2.0200E+00 1.4000E-01
 8.3200E+00 1.5000E+02 1.7200E+00 1.6000E-01
 8.5100E+00 3.0000E+01 1.5440E+01 6.8000E-01
 8.5100E+00 6.0000E+01 5.3300E+00 2.7000E-01
 8.5100E+00 9.0000E+01 2.6200E+00 1.6000E-01
 8.5100E+00 1.2000E+02 1.8900E+00 1.5000E-01
 8.5100E+00 1.5000E+02 1.5000E+00 1.5000E-01
 8.7200E+00 3.0000E+01 1.5160E+01 6.7000E-01
 8.7200E+00 6.0000E+01 5.2000E+00 2.6000E-01
 8.7200E+00 9.0000E+01 2.5400E+00 1.5000E-01
 8.7200E+00 1.2000E+02 1.5200E+00 1.2000E-01
 8.7200E+00 1.5000E+02 1.3600E+00 1.4000E-01
 8.9300E+00 3.0000E+01 1.4490E+01 6.4000E-01
 8.9300E+00 6.0000E+01 4.8300E+00 2.5000E-01
 8.9300E+00 9.0000E+01 2.3500E+00 1.4000E-01
 8.9300E+00 1.2000E+02 1.4500E+00 1.1000E-01
 8.9300E+00 1.5000E+02 1.2400E+00 1.3000E-01
 9.1400E+00 3.0000E+01 1.3780E+01 6.1000E-01
 9.1400E+00 6.0000E+01 4.4800E+00 2.3000E-01
 9.1400E+00 9.0000E+01 2.1500E+00 1.3000E-01
 9.1400E+00 1.2000E+02 1.5100E+00 1.2000E-01
 9.1400E+00 1.5000E+02 1.1300E+00 1.1000E-01
 9.3700E+00 3.0000E+01 1.3360E+01 6.3000E-01
 9.3700E+00 6.0000E+01 4.1400E+00 2.3000E-01
 9.3700E+00 9.0000E+01 2.1000E+00 1.3000E-01
 9.3700E+00 1.2000E+02 1.3400E+00 1.1000E-01
 9.3700E+00 1.5000E+02 1.1900E+00 1.2000E-01
 9.6000E+00 3.0000E+01 1.2530E+01 6.3000E-01
 9.6000E+00 6.0000E+01 3.9400E+00 2.3000E-01
 9.6000E+00 9.0000E+01 1.8400E+00 1.3000E-01
 9.6000E+00 1.2000E+02 1.3900E+00 1.1000E-01
 9.6000E+00 1.5000E+02 1.1500E+00 1.3000E-01
 9.8500E+00 3.0000E+01 1.1810E+01 6.5000E-01
 9.8500E+00 6.0000E+01 3.7600E+00 2.3000E-01
 9.8500E+00 9.0000E+01 1.7300E+00 1.3000E-01
 9.8500E+00 1.2000E+02 1.3200E+00 1.2000E-01
 9.8500E+00 1.5000E+02 1.0100E+00 1.1000E-01
 1.0100E+01 3.0000E+01 1.1200E+01 7.0000E-01
 1.0100E+01 6.0000E+01 3.2100E+00 2.3000E-01
 1.0100E+01 9.0000E+01 1.5400E+00 1.2000E-01
 1.0100E+01 1.2000E+02 1.1600E+00 1.1000E-01
 1.0100E+01 1.5000E+02 1.0600E+00 1.3000E-01
 1.0360E+01 3.0000E+01 1.0420E+01 7.5000E-01
 1.0360E+01 6.0000E+01 3.0800E+00 2.4000E-01
 1.0360E+01 9.0000E+01 1.5000E+00 1.3000E-01
 1.0360E+01 1.2000E+02 1.1400E+00 1.2000E-01
 1.0360E+01 1.5000E+02 9.0000E-01 1.1000E-01
 1.0640E+01 3.0000E+01 9.6600E+00 8.3000E-01
 1.0640E+01 6.0000E+01 2.7500E+00 2.5000E-01
 1.0640E+01 9.0000E+01 1.3600E+00 1.4000E-01
 1.0640E+01 1.2000E+02 9.7000E-01 1.2000E-01
 1.0640E+01 1.5000E+02 8.8000E-01 1.2000E-01
 1.0920E+01 3.0000E+01 9.0700E+00 9.6000E-01
 1.0920E+01 6.0000E+01 2.8700E+00 3.2000E-01
 1.0920E+01 9.0000E+01 1.2700E+00 1.5000E-01
 1.0920E+01 1.2000E+02 8.5000E-01 1.1000E-01
 1.0920E+01 1.5000E+02 7.8000E-01 1.2000E-01
 1.1220E+01 3.0000E+01 8.4100E+00 1.1800E+00
 1.1220E+01 6.0000E+01 2.4700E+00 3.6000E-01
 1.1220E+01 9.0000E+01 1.1600E+00 1.7000E-01
 1.1220E+01 1.2000E+02 8.6000E-01 1.4000E-01
 1.1220E+01 1.5000E+02 7.6000E-01 1.4000E-01
 1.1530E+01 3.0000E+01 7.8000E+00 1.3900E+00
 1.1530E+01 6.0000E+01 2.3200E+00 4.2000E-01
 1.1530E+01 9.0000E+01 1.1300E+00 2.1000E-01
 1.1530E+01 1.2000E+02 8.3000E-01 1.7000E-01
 1.1530E+01 1.5000E+02 7.1000E-01 1.5000E-01
 1.1850E+01 3.0000E+01 7.2100E+00 1.5600E+00
 1.1850E+01 6.0000E+01 2.0000E+00 4.4000E-01
 1.1850E+01 9.0000E+01 9.7000E-01 2.2000E-01
 1.1850E+01 1.2000E+02 6.8000E-01 1.6000E-01
 1.1850E+01 1.5000E+02 6.4000E-01 1.6000E-01
 1.2180E+01 3.0000E+01 6.7100E+00 1.6200E+00
 1.2180E+01 6.0000E+01 1.8700E+00 4.5000E-01
 1.2180E+01 9.0000E+01 8.6000E-01 2.1000E-01
 1.2180E+01 1.2000E+02 6.0000E-01 1.6000E-01
 1.2180E+01 1.5000E+02 5.6000E-01 1.6000E-01
 1.2530E+01 3.0000E+01 6.3800E+00 1.6000E+00
 1.2530E+01 6.0000E+01 1.7500E+00 4.5000E-01
 1.2530E+01 9.0000E+01 7.4000E-01 1.9000E-01
 1.2530E+01 1.2000E+02 4.9000E-01 1.4000E-01
 1.2530E+01 1.5000E+02 5.1000E-01 1.4000E-01
 1.2900E+01 3.0000E+01 5.9000E+00 1.4900E+00
 1.2900E+01 6.0000E+01 1.8100E+00 4.6000E-01
 1.2900E+01 9.0000E+01 6.7000E-01 1.8000E-01
 1.2900E+01 1.2000E+02 4.5000E-01 1.2000E-01
 1.2900E+01 1.5000E+02 5.9000E-01 1.7000E-01
 1.3280E+01 3.0000E+01 5.5500E+00 1.4000E+00
 1.3280E+01 6.0000E+01 1.5600E+00 4.0000E-01
 1.3280E+01 9.0000E+01 6.0000E-01 1.6000E-01
 1.3280E+01 1.2000E+02 4.3000E-01 1.2000E-01
 1.3280E+01 1.5000E+02 5.0000E-01 1.5000E-01
 1.3680E+01 3.0000E+01 5.0400E+00 1.2700E+00
 1.3680E+01 6.0000E+01 1.4500E+00 3.7000E-01
 1.3680E+01 9.0000E+01 6.8000E-01 1.8000E-01
 1.3680E+01 1.2000E+02 3.7000E-01 1.1000E-01
 1.3680E+01 1.5000E+02 4.4000E-01 1.2000E-01
 1.4100E+01 3.0000E+01 4.7500E+00 1.2000E+00
 1.4100E+01 6.0000E+01 1.2300E+00 3.2000E-01
 1.4100E+01 9.0000E+01 5.6000E-01 1.5000E-01
 1.4100E+01 1.2000E+02 3.3000E-01 1.0000E-01
 1.4100E+01 1.5000E+02 4.7000E-01 1.3000E-01
 1.4530E+01 3.0000E+01 4.3300E+00 1.0900E+00
 1.4530E+01 6.0000E+01 1.3700E+00 3.5000E-01
 1.4530E+01 9.0000E+01 5.2000E-01 1.4000E-01
 1.4530E+01 1.2000E+02 3.3000E-01 9.0000E-02
 1.4530E+01 1.5000E+02 4.8000E-01 1.3000E-01
 1.4990E+01 3.0000E+01 3.9500E+00 1.0000E+00
 1.4990E+01 6.0000E+01 1.0700E+00 2.7000E-01
 1.4990E+01 9.0000E+01 5.4000E-01 1.4000E-01
 1.4990E+01 1.2000E+02 3.7000E-01 1.0000E-01
 1.4990E+01 1.5000E+02 4.5000E-01 1.3000E-01
 1.5470E+01 3.0000E+01 3.6200E+00 9.2000E-01
 1.5470E+01 6.0000E+01 1.0900E+00 2.8000E-01
 1.5470E+01 9.0000E+01 5.1000E-01 1.3000E-01
 1.5470E+01 1.2000E+02 3.3000E-01 1.0000E-01
 1.5470E+01 1.5000E+02 3.9000E-01 1.2000E-01
 1.5970E+01 3.0000E+01 3.3600E+00 8.5000E-01
 1.5970E+01 6.0000E+01 9.0000E-01 2.3000E-01
 1.5970E+01 9.0000E+01 4.3000E-01 1.2000E-01
 1.5970E+01 1.2000E+02 2.8000E-01 8.0000E-02
 1.5970E+01 1.5000E+02 3.3000E-01 1.0000E-01
 1.6500E+01 3.0000E+01 2.9400E+00 7.4000E-01
 1.6500E+01 6.0000E+01 8.5000E-01 2.2000E-01
 1.6500E+01 9.0000E+01 4.3000E-01 1.1000E-01
 1.6500E+01 1.2000E+02 2.5000E-01 8.0000E-02
 1.6500E+01 1.5000E+02 3.0000E-01 1.0000E-01
 1.7060E+01 3.0000E+01 2.5800E+00 6.5000E-01
 1.7060E+01 6.0000E+01 6.8000E-01 1.8000E-01
 1.7060E+01 9.0000E+01 3.6000E-01 1.0000E-01
 1.7060E+01 1.2000E+02 2.2000E-01 7.0000E-02
 1.7060E+01 1.5000E+02 2.7000E-01 8.0000E-02
 1.7640E+01 3.0000E+01 2.3400E+00 5.9000E-01
 1.7640E+01 9.0000E+01 3.0000E-01 8.0000E-02
 1.7640E+01 1.2000E+02 2.0000E-01 6.0000E-02
 1.7640E+01 1.5000E+02 2.9000E-01 9.0000E-02
 1.7660E+01 6.0000E+01 5.8000E-01 1.5000E-01
 1.8250E+01 3.0000E+01 2.0400E+00 5.2000E-01
 1.8250E+01 6.0000E+01 6.0000E-01 1.6000E-01
 1.8250E+01 9.0000E+01 2.4000E-01 7.0000E-02
 1.8250E+01 1.2000E+02 1.8000E-01 5.0000E-02
 1.8250E+01 1.5000E+02 2.5000E-01 8.0000E-02
 1.8900E+01 3.0000E+01 1.7900E+00 4.5000E-01
 1.8900E+01 6.0000E+01 5.4000E-01 1.4000E-01
 1.8900E+01 9.0000E+01 2.0000E-01 6.0000E-02
 1.8900E+01 1.2000E+02 1.5000E-01 5.0000E-02
 1.8900E+01 1.5000E+02 2.3000E-01 7.0000E-02
 1.9590E+01 3.0000E+01 1.5200E+00 3.9000E-01
 1.9590E+01 6.0000E+01 4.7000E-01 1.2000E-01
 1.9590E+01 9.0000E+01 2.1000E-01 6.0000E-02
 1.9590E+01 1.2000E+02 1.2000E-01 4.0000E-02
 1.9590E+01 1.5000E+02 1.2000E-01 7.0000E-02
 2.0310E+01 3.0000E+01 1.3100E+00 3.3000E-01
 2.0310E+01 6.0000E+01 4.1000E-01 1.1000E-01
 2.0310E+01 9.0000E+01 1.6000E-01 5.0000E-02
 2.0310E+01 1.2000E+02 1.0000E-01 4.0000E-02
 2.0310E+01 1.5000E+02 1.4000E-01 7.0000E-02
 2.1060E+01 3.0000E+01 1.1900E+00 3.0000E-01
 2.1060E+01 6.0000E+01 4.3000E-01 1.1000E-01
 2.1060E+01 9.0000E+01 1.6000E-01 5.0000E-02
 2.1060E+01 1.2000E+02 8.0000E-02 3.0000E-02
 2.1060E+01 1.5000E+02 1.4000E-01 7.0000E-02
 2.1870E+01 3.0000E+01 1.0600E+00 2.7000E-01
 2.1870E+01 6.0000E+01 3.4000E-01 9.0000E-02
 2.1870E+01 9.0000E+01 1.5000E-01 4.0000E-02
 2.1870E+01 1.2000E+02 9.0000E-02 3.0000E-02
 2.1870E+01 1.5000E+02 1.0000E-01 6.0000E-02
 2.2720E+01 3.0000E+01 8.8000E-01 2.2000E-01
 2.2720E+01 6.0000E+01 2.8000E-01 8.0000E-02
 2.2720E+01 9.0000E+01 1.0000E-01 3.0000E-02
 2.2720E+01 1.2000E+02 9.0000E-02 3.0000E-02
 2.2720E+01 1.5000E+02 7.0000E-02 5.0000E-02
 2.3630E+01 3.0000E+01 7.3000E-01 1.9000E-01
 2.3630E+01 6.0000E+01 1.9000E-01 5.0000E-02
 2.3630E+01 9.0000E+01 9.0000E-02 3.0000E-02
 2.3630E+01 1.2000E+02 8.0000E-02 3.0000E-02
 2.3630E+01 1.5000E+02 9.0000E-02 5.0000E-02
 2.4590E+01 3.0000E+01 4.9000E-01 1.2000E-01
 2.4590E+01 6.0000E+01 1.7000E-01 5.0000E-02
 2.4590E+01 9.0000E+01 9.0000E-02 3.0000E-02
 2.4590E+01 1.2000E+02 9.0000E-02 3.0000E-02
 2.4590E+01 1.5000E+02 9.0000E-02 6.0000E-02
 2.5620E+01 3.0000E+01 3.4000E-01 9.0000E-02
 2.5620E+01 6.0000E+01 1.0000E-01 3.0000E-02
 2.5620E+01 9.0000E+01 7.0000E-02 2.0000E-02
 2.5620E+01 1.2000E+02 9.0000E-02 3.0000E-02
 2.5620E+01 1.5000E+02 6.0000E-02 5.0000E-02
 2.6700E+01 3.0000E+01 2.4000E-01 6.0000E-02
 2.6700E+01 6.0000E+01 8.0000E-02 3.0000E-02
 2.6700E+01 9.0000E+01 8.0000E-02 2.0000E-02
