INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
           (R,LA-11656,198908)
AUTHOR     (M.M.MEIER,W.B.AMIAN,C.A.GOULDING,G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            256-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
REACTION   (26-FE-0(P,X)0-NN-1,,DA/DE)
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
MEV
256.
ENDCOMMON            3          0
DATA                 5        342
 30.        1.7500E+01 1.0000E+00 1.2080E-03 3.0400E-05
 30.        1.8500E+01 1.0000E+00 1.1770E-03 2.9840E-05
 30.        1.9500E+01 1.0000E+00 1.0940E-03 2.8350E-05
 30.        2.1000E+01 2.0000E+00 1.0060E-03 2.3710E-05
 30.        2.3000E+01 2.0000E+00 9.5300E-04 2.2730E-05
 30.        2.5000E+01 2.0000E+00 9.1790E-04 2.2060E-05
 30.        2.7000E+01 2.0000E+00 8.5890E-04 2.0980E-05
 30.        2.9000E+01 2.0000E+00 8.2960E-04 2.0500E-05
 30.        3.1000E+01 2.0000E+00 8.1050E-04 2.0180E-05
 30.        3.3000E+01 2.0000E+00 7.9390E-04 2.0050E-05
 30.        3.5000E+01 2.0000E+00 8.2540E-04 2.3290E-05
 30.        3.7000E+01 2.0000E+00 8.1040E-04 2.2930E-05
 30.        3.9000E+01 2.0000E+00 7.7820E-04 2.2480E-05
 30.        4.1000E+01 2.0000E+00 7.6080E-04 2.1960E-05
 30.        4.3000E+01 2.0000E+00 7.4730E-04 2.1700E-05
 30.        4.5000E+01 2.0000E+00 7.7580E-04 2.2240E-05
 30.        4.7000E+01 2.0000E+00 7.4050E-04 2.1770E-05
 30.        4.9000E+01 2.0000E+00 7.4510E-04 2.1750E-05
 30.        5.2500E+01 5.0000E+00 7.0980E-04 1.7430E-05
 30.        5.7500E+01 5.0000E+00 6.7720E-04 1.6890E-05
 30.        6.2500E+01 5.0000E+00 6.9310E-04 1.7370E-05
 30.        6.7500E+01 5.0000E+00 6.7430E-04 1.7130E-05
 30.        7.2500E+01 5.0000E+00 6.5870E-04 1.6900E-05
 30.        7.7500E+01 5.0000E+00 6.5500E-04 1.6890E-05
 30.        8.2500E+01 5.0000E+00 6.4280E-04 1.6750E-05
 30.        8.7500E+01 5.0000E+00 6.3430E-04 1.6710E-05
 30.        9.2500E+01 5.0000E+00 6.3090E-04 1.6690E-05
 30.        9.7500E+01 5.0000E+00 6.2240E-04 1.6590E-05
 30.        1.0750E+02 1.0000E+01 6.2350E-04 1.4820E-05
 30.        1.1500E+02 1.0000E+01 6.1630E-04 1.4740E-05
 30.        1.2500E+02 1.0000E+01 6.4880E-04 1.5420E-05
 30.        1.3500E+02 1.0000E+01 6.5730E-04 1.5630E-05
 30.        1.4500E+02 1.0000E+01 6.6390E-04 1.5830E-05
 30.        1.5500E+02 1.0000E+01 6.5180E-04 1.5660E-05
 30.        1.6500E+02 1.0000E+01 6.4670E-04 1.5560E-05
 30.        1.7500E+02 1.0000E+01 6.2230E-04 1.5100E-05
 30.        1.8500E+02 1.0000E+01 5.5330E-04 1.3650E-05
 30.        1.9500E+02 1.0000E+01 4.7290E-04 1.2020E-05
 30.        2.1000E+02 2.0000E+01 3.2890E-04 7.9510E-06
 30.        2.3000E+02 2.0000E+01 1.5090E-04 4.2010E-06
 30.        2.5000E+02 2.0000E+01 2.8960E-05 1.3500E-06
 30.        2.7000E+02 2.0000E+01 1.2850E-06 3.4270E-07
 60.        5.2500E-01 5.0000E-02 9.7690E-03 0.0
 60.        5.2500E-01 5.0000E-02 9.7690E-03 8.7820E-04
 60.        5.7500E-01 5.0000E-02 1.1510E-02 7.6400E-04
 60.        6.2500E-01 5.0000E-02 1.2740E-02 6.9290E-04
 60.        6.7500E-01 5.0000E-02 1.3210E-02 6.3690E-04
 60.        7.2500E-01 5.0000E-02 1.5200E-02 6.2540E-04
 60.        7.7500E-01 5.0000E-02 1.5230E-02 6.2050E-04
 60.        8.2500E-01 5.0000E-02 1.6240E-02 6.0870E-04
 60.        8.7500E-01 5.0000E-02 1.7480E-02 6.1710E-04
 60.        9.2500E-01 5.0000E-02 2.1490E-02 7.2880E-04
 60.        9.7500E-01 5.0000E-02 1.8830E-02 6.8030E-04
 60.        1.0750E+00 1.0000E-01 1.6810E-02 4.9850E-04
 60.        1.1500E+00 1.0000E-01 1.7380E-02 4.7370E-04
 60.        1.2500E+00 1.0000E-01 1.8060E-02 4.7930E-04
 60.        1.3500E+00 1.0000E-01 1.5730E-02 4.3360E-04
 60.        1.4500E+00 1.0000E-01 1.6220E-02 4.3050E-04
 60.        1.5500E+00 1.0000E-01 1.6320E-02 4.3250E-04
 60.        1.6500E+00 1.0000E-01 1.5900E-02 4.1850E-04
 60.        1.7500E+00 1.0000E-01 1.4730E-02 3.9370E-04
 60.        1.8500E+00 1.0000E-01 1.5920E-02 4.1710E-04
 60.        1.9500E+00 1.0000E-01 1.6520E-02 4.3210E-04
 60.        2.1000E+00 2.0000E-01 1.4870E-02 3.5050E-04
 60.        2.3000E+00 2.0000E-01 1.7490E-02 4.1340E-04
 60.        2.5000E+00 2.0000E-01 1.9340E-02 4.5880E-04
 60.        2.7000E+00 2.0000E-01 1.6370E-02 3.9070E-04
 60.        2.9000E+00 2.0000E-01 1.6080E-02 3.9320E-04
 60.        3.1000E+00 2.0000E-01 1.4080E-02 3.4800E-04
 60.        3.3000E+00 2.0000E-01 1.1590E-02 2.9340E-04
 60.        3.5000E+00 2.0000E-01 1.0070E-02 2.5860E-04
 60.        3.7000E+00 2.0000E-01 9.7110E-03 2.5250E-04
 60.        3.9000E+00 2.0000E-01 8.4780E-03 2.2310E-04
 60.        4.1000E+00 2.0000E-01 8.3580E-03 2.2380E-04
 60.        4.3000E+00 2.0000E-01 8.3630E-03 2.2560E-04
 60.        4.5000E+00 2.0000E-01 7.7210E-03 2.0840E-04
 60.        4.7000E+00 2.0000E-01 7.9770E-03 2.1330E-04
 60.        4.9000E+00 2.0000E-01 7.3970E-03 2.0150E-04
 60.        5.2500E+00 5.0000E-01 5.9380E-03 1.4420E-04
 60.        5.7500E+00 5.0000E-01 5.7920E-03 1.4390E-04
 60.        6.2500E+00 5.0000E-01 4.3910E-03 1.1270E-04
 60.        6.7500E+00 5.0000E-01 3.9090E-03 1.0220E-04
 60.        7.2500E+00 5.0000E-01 3.3510E-03 9.1230E-05
 60.        7.7500E+00 5.0000E-01 3.0050E-03 8.3820E-05
 60.        8.2500E+00 5.0000E-01 2.8000E-03 7.8880E-05
 60.        8.7500E+00 5.0000E-01 2.4850E-03 7.2790E-05
 60.        9.2500E+00 5.0000E-01 2.2800E-03 6.7190E-05
 60.        9.7500E+00 5.0000E-01 2.2340E-03 6.7910E-05
 60.        1.0750E+01 1.0000E+00 1.8480E-03 5.0020E-05
 60.        1.1500E+01 1.0000E+00 1.6520E-03 4.5870E-05
 60.        1.2500E+01 1.0000E+00 1.3610E-03 3.9780E-05
 60.        1.3500E+01 1.0000E+00 1.2140E-03 3.6940E-05
 60.        1.4500E+01 1.0000E+00 1.1580E-03 3.5740E-05
 60.        1.5500E+01 1.0000E+00 1.0600E-03 3.3770E-05
 60.        1.6500E+01 1.0000E+00 9.9240E-04 3.2770E-05
 60.        1.7500E+01 1.0000E+00 9.6580E-04 3.2040E-05
 60.        1.8500E+01 1.0000E+00 9.1460E-04 3.1350E-05
 60.        1.9500E+01 1.0000E+00 8.6940E-04 3.0370E-05
 60.        2.1000E+01 2.0000E+00 7.4690E-04 2.2330E-05
 60.        2.3000E+01 2.0000E+00 7.1330E-04 2.1250E-05
 60.        2.5000E+01 2.0000E+00 6.4200E-04 2.0220E-05
 60.        2.7000E+01 2.0000E+00 6.4540E-04 2.0250E-05
 60.        2.9000E+01 2.0000E+00 6.2000E-04 2.0010E-05
 60.        3.1000E+01 2.0000E+00 5.8320E-04 1.9490E-05
 60.        3.3000E+01 2.0000E+00 5.9510E-04 1.9460E-05
 60.        3.5000E+01 2.0000E+00 5.0880E-04 2.1270E-05
 60.        3.7000E+01 2.0000E+00 5.3050E-04 2.1850E-05
 60.        3.9000E+01 2.0000E+00 4.8810E-04 2.0970E-05
 60.        4.1000E+01 2.0000E+00 4.8390E-04 2.0640E-05
 60.        4.3000E+01 2.0000E+00 5.0200E-04 2.1150E-05
 60.        4.5000E+01 2.0000E+00 5.1230E-04 2.1400E-05
 60.        4.7000E+01 2.0000E+00 5.0850E-04 2.1330E-05
 60.        4.9000E+01 2.0000E+00 4.9680E-04 2.1010E-05
 60.        5.2500E+01 5.0000E+00 4.4520E-04 1.4400E-05
 60.        5.7500E+01 5.0000E+00 4.2710E-04 1.4080E-05
 60.        6.2500E+01 5.0000E+00 3.8620E-04 1.3160E-05
 60.        6.7500E+01 5.0000E+00 3.8170E-04 1.3080E-05
 60.        7.2500E+01 5.0000E+00 3.5340E-04 1.2510E-05
 60.        7.7500E+01 5.0000E+00 3.1620E-04 1.1730E-05
 60.        8.2500E+01 5.0000E+00 3.0030E-04 1.1420E-05
