ENTRY            C0170   19990601
SUBENT        C0170001   19990601
BIB                 12         27
INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
120.        9.7500E+01 5.0000E+00 3.1560E-05 1.1980E-06
120.        1.0750E+02 1.0000E+01 2.8160E-05 7.9840E-07
120.        1.1500E+02 1.0000E+01 2.0300E-05 6.8060E-07
120.        1.2500E+02 1.0000E+01 1.4710E-05 5.7800E-07
120.        1.3500E+02 1.0000E+01 1.1180E-05 5.2390E-07
120.        1.4500E+02 1.0000E+01 8.7580E-06 4.5810E-07
120.        1.5500E+02 1.0000E+01 6.1310E-06 3.8120E-07
120.        1.6500E+02 1.0000E+01 4.7510E-06 3.3650E-07
120.        1.7500E+02 1.0000E+01 3.5690E-06 2.9950E-07
120.        1.8500E+02 1.0000E+01 2.7930E-06 2.7790E-07
120.        1.9500E+02 1.0000E+01 2.3310E-06 2.4320E-07
120.        2.1000E+02 2.0000E+01 1.2050E-06 1.3570E-07
120.        2.3000E+02 2.0000E+01 5.3840E-07 1.0450E-07
120.        2.5000E+02 2.0000E+01 3.7520E-07 8.2370E-08
120.        2.7000E+02 2.0000E+01 2.2730E-07 1.1310E-07
120.        2.9000E+02 2.0000E+01 1.0430E-07 4.6040E-08
150.        5.2500E-01 5.0000E-01 0.0     0.0
150.        5.2500E-01 5.0000E-01 5.0740E-03 1.0570E-04
150.        5.7500E-01 5.0000E-01 5.0730E-03 9.5040E-05
150.        6.2500E-01 5.0000E-01 5.4300E-03 9.1080E-05
150.        6.7500E-01 5.0000E-01 5.1770E-03 8.4910E-05
150.        7.2500E-01 5.0000E-01 5.2670E-03 8.3610E-05
150.        7.7500E-01 5.0000E-01 5.4490E-03 8.3040E-05
150.        8.2500E-01 5.0000E-01 5.5420E-03 8.2480E-05
150.        8.7500E-01 5.0000E-01 5.6020E-03 8.1340E-05
150.        9.2500E-01 5.0000E-01 6.0830E-03 8.8370E-05
150.        9.7500E-01 5.0000E-01 5.7950E-03 8.5650E-05
150.        1.0750E+00 1.0000E-01 5.2950E-03 5.7080E-05
150.        1.1500E+00 1.0000E-01 5.2420E-03 5.3700E-05
150.        1.2500E+00 1.0000E-01 5.3230E-03 5.3770E-05
150.        1.3500E+00 1.0000E-01 4.9660E-03 5.2550E-05
150.        1.4500E+00 1.0000E-01 5.0120E-03 5.1580E-05
150.        1.5500E+00 1.0000E-01 4.9190E-03 5.1230E-05
150.        1.6500E+00 1.0000E-01 4.9020E-03 5.1300E-05
150.        1.7500E+00 1.0000E-01 4.5630E-03 4.9410E-05
150.        1.8500E+00 1.0000E-01 4.7870E-03 5.1300E-05
150.        1.9500E+00 1.0000E-01 4.8170E-03 5.1810E-05
150.        2.1000E+00 2.0000E-01 4.4670E-03 3.4210E-05
150.        2.3000E+00 2.0000E-01 4.7730E-03 3.7700E-05
