TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (13-AL-27(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     AL-27(99.9 PERCENT).THICKNESS OF FOIL=2.79E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        387
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 9.1400E+00 3.0000E+01 6.0500E+00 2.8000E-01
 9.1400E+00 6.0000E+01 3.2000E+00 1.6000E-01
 9.1400E+00 9.0000E+01 2.3000E+00 1.3000E-01
 9.1400E+00 1.2000E+02 2.0000E+00 1.4000E-01
 9.1400E+00 1.5000E+02 2.4000E+00 2.1000E-01
 9.3700E+00 3.0000E+01 5.6000E+00 2.6000E-01
 9.3700E+00 6.0000E+01 3.0000E+00 1.5000E-01
 9.3700E+00 9.0000E+01 2.3000E+00 1.3000E-01
 9.3700E+00 1.2000E+02 2.2000E+00 1.5000E-01
 9.3700E+00 1.5000E+02 2.3000E+00 2.1000E-01
 9.6000E+00 3.0000E+01 5.5000E+00 2.5000E-01
 9.6000E+00 6.0000E+01 3.0700E+00 1.6000E-01
 9.6000E+00 9.0000E+01 2.4000E+00 1.3000E-01
 9.6000E+00 1.2000E+02 1.8000E+00 1.4000E-01
 9.6000E+00 1.5000E+02 2.1000E+00 2.0000E-01
 9.8500E+00 3.0000E+01 5.4000E+00 2.5000E-01
 9.8500E+00 6.0000E+01 3.0000E+00 1.5000E-01
 9.8500E+00 9.0000E+01 2.2000E+00 1.2000E-01
 9.8500E+00 1.2000E+02 1.7500E+00 1.2000E-01
 9.8500E+00 1.5000E+02 1.7000E+00 1.6000E-01
 1.0100E+01 3.0000E+01 5.2000E+00 2.5000E-01
 1.0100E+01 6.0000E+01 2.8000E+00 1.5000E-01
 1.0100E+01 9.0000E+01 2.0300E+00 1.2000E-01
 1.0100E+01 1.2000E+02 1.5000E+00 1.1000E-01
 1.0100E+01 1.5000E+02 1.7000E+00 1.7000E-01
 1.0360E+01 3.0000E+01 5.2000E+00 2.7000E-01
 1.0360E+01 6.0000E+01 2.9000E+00 1.6000E-01
 1.0360E+01 9.0000E+01 1.9000E+00 1.2000E-01
 1.0360E+01 1.2000E+02 1.5000E+00 1.1000E-01
 1.0360E+01 1.5000E+02 1.5000E+00 1.6000E-01
 1.0630E+01 3.0000E+01 5.1000E+00 2.9000E-01
 1.0630E+01 6.0000E+01 2.6600E+00 1.6000E-01
 1.0630E+01 9.0000E+01 1.8000E+00 1.2000E-01
 1.0630E+01 1.2000E+02 1.4000E+00 1.3000E-01
 1.0630E+01 1.5000E+02 1.4000E+00 1.6000E-01
 1.0920E+01 3.0000E+01 4.8000E+00 3.0000E-01
 1.0920E+01 6.0000E+01 2.5000E+00 1.7000E-01
 1.0920E+01 9.0000E+01 1.7000E+00 1.3000E-01
 1.0920E+01 1.2000E+02 1.2500E+00 1.1000E-01
 1.0920E+01 1.5000E+02 1.2000E+00 1.5000E-01
 1.1210E+01 3.0000E+01 4.7000E+00 3.4000E-01
 1.1210E+01 6.0000E+01 2.3000E+00 1.7000E-01
 1.1210E+01 9.0000E+01 1.6000E+00 1.3000E-01
 1.1210E+01 1.2000E+02 1.2000E+00 1.2000E-01
 1.1210E+01 1.5000E+02 1.2000E+00 1.7000E-01
 1.1520E+01 3.0000E+01 4.6000E+00 1.6000E-01
 1.1520E+01 6.0000E+01 2.2000E+00 1.1000E-01
 1.1520E+01 9.0000E+01 1.5000E+00 1.4000E-01
 1.1520E+01 1.2000E+02 1.0500E+00 1.1000E-01
 1.1520E+01 1.5000E+02 1.0500E+00 1.6000E-01
 1.1840E+01 3.0000E+01 4.6000E+00 4.9000E-01
 1.1840E+01 6.0000E+01 2.0000E+00 2.2000E-01
 1.1840E+01 9.0000E+01 1.3000E+00 1.5000E-01
 1.1840E+01 1.2000E+02 1.1000E+00 1.4000E-01
 1.1840E+01 1.5000E+02 9.0000E-01 1.5000E-01
 1.2180E+01 3.0000E+01 4.3000E+00 6.0000E-01
 1.2180E+01 6.0000E+01 1.9000E+00 2.7000E-01
 1.2180E+01 9.0000E+01 1.2000E+00 1.8000E-01
 1.2180E+01 1.2000E+02 9.0000E-01 1.5000E-01
 1.2180E+01 1.5000E+02 8.3000E-01 1.6000E-01
 1.2530E+01 3.0000E+01 4.1500E+00 7.4000E-01
 1.2530E+01 6.0000E+01 1.7500E+00 3.2000E-01
 1.2530E+01 9.0000E+01 1.1000E+00 2.0000E-01
 1.2530E+01 1.2000E+02 9.0000E-01 1.8000E-01
 1.2530E+01 1.5000E+02 7.0000E-01 1.6000E-01
 1.2890E+01 3.0000E+01 3.9000E+00 8.5000E-01
 1.2890E+01 6.0000E+01 1.6600E+00 3.6000E-01
 1.2890E+01 9.0000E+01 1.0000E+00 2.2000E-01
 1.2890E+01 1.2000E+02 8.0000E-01 1.9000E-01
 1.2890E+01 1.5000E+02 6.0000E-01 1.7000E-01
 1.3280E+01 3.0000E+01 3.7000E+00 8.9000E-01
 1.3280E+01 6.0000E+01 1.5500E+00 3.8000E-01
 1.3280E+01 9.0000E+01 9.0000E-01 2.2000E-01
 1.3280E+01 1.2000E+02 7.0000E-01 1.8000E-01
 1.3280E+01 1.5000E+02 5.5000E-01 1.7000E-01
 1.3670E+01 3.0000E+01 3.7700E+00 9.5000E-01
 1.3670E+01 6.0000E+01 1.4500E+00 3.7000E-01
 1.3670E+01 9.0000E+01 8.5000E-01 2.2000E-01
 1.3670E+01 1.2000E+02 4.8000E-01 1.3000E-01
 1.3670E+01 1.5000E+02 5.0000E-01 1.5000E-01
 1.4090E+01 3.0000E+01 3.5000E+00 8.8000E-01
 1.4090E+01 6.0000E+01 1.4000E+00 3.6000E-01
 1.4090E+01 9.0000E+01 8.0000E-01 2.1000E-01
 1.4090E+01 1.2000E+02 6.0000E-01 1.6000E-01
 1.4090E+01 1.5000E+02 4.0000E-01 1.3000E-01
 1.4530E+01 3.0000E+01 3.6000E+00 9.1000E-01
 1.4530E+01 6.0000E+01 1.3000E+00 3.3000E-01
 1.4530E+01 9.0000E+01 7.0000E-01 1.8000E-01
 1.4530E+01 1.2000E+02 4.0000E-01 1.2000E-01
 1.4530E+01 1.5000E+02 3.5000E-01 1.2000E-01
 1.4990E+01 3.0000E+01 3.3000E+00 8.3000E-01
 1.4990E+01 6.0000E+01 1.1600E+00 2.9000E-01
 1.4990E+01 9.0000E+01 7.0000E-01 1.8000E-01
 1.4990E+01 1.2000E+02 4.5000E-01 1.2000E-01
 1.4990E+01 1.5000E+02 3.0000E-01 1.0000E-01
 1.5460E+01 3.0000E+01 3.5000E+00 8.8000E-01
 1.5460E+01 6.0000E+01 1.1500E+00 2.9000E-01
 1.5460E+01 9.0000E+01 5.5000E-01 1.5000E-01
 1.5460E+01 1.2000E+02 4.0000E-01 1.1000E-01
 1.5460E+01 1.5000E+02 3.0000E-01 1.1000E-01
 1.5970E+01 3.0000E+01 3.4000E+00 8.6000E-01
 1.5970E+01 6.0000E+01 1.1500E+00 2.9000E-01
 1.5970E+01 9.0000E+01 5.0000E-01 1.3000E-01
 1.5970E+01 1.2000E+02 4.0000E-01 1.1000E-01
 1.5970E+01 1.5000E+02 2.0000E-01 8.0000E-02
 1.6500E+01 3.0000E+01 3.2000E+00 8.1000E-01
 1.6500E+01 6.0000E+01 1.0000E+00 2.5000E-01
 1.6500E+01 9.0000E+01 5.0000E-01 1.3000E-01
 1.6500E+01 1.2000E+02 3.0000E-01 9.0000E-02
 1.6500E+01 1.5000E+02 2.0000E-01 9.0000E-02
 1.7050E+01 3.0000E+01 3.1000E+00 7.8000E-01
 1.7050E+01 6.0000E+01 1.0000E+00 2.5000E-01
 1.7050E+01 9.0000E+01 5.0000E-01 1.3000E-01
 1.7050E+01 1.2000E+02 4.0000E-01 1.1000E-01
 1.7050E+01 1.5000E+02 2.0000E-01 8.0000E-02
 1.7630E+01 3.0000E+01 2.7000E+00 6.8000E-01
 1.7630E+01 6.0000E+01 8.0000E-01 2.0000E-01
 1.7630E+01 9.0000E+01 4.0000E-01 1.1000E-01
 1.7630E+01 1.2000E+02 3.0000E-01 9.0000E-02
 1.7630E+01 1.5000E+02 1.0000E-01 4.0000E-02
 1.8250E+01 3.0000E+01 2.2800E+00 5.8000E-01
 1.8250E+01 6.0000E+01 8.0000E-01 2.0000E-01
 1.8250E+01 9.0000E+01 4.0000E-01 1.1000E-01
 1.8250E+01 1.2000E+02 3.5000E-01 1.0000E-01
 1.8250E+01 1.5000E+02 1.0000E-01 7.0000E-02
 1.8900E+01 3.0000E+01 1.8500E+00 4.7000E-01
 1.8900E+01 6.0000E+01 6.0000E-01 1.5000E-01
 1.8900E+01 9.0000E+01 3.5000E-01 9.0000E-02
 1.8900E+01 1.2000E+02 2.0000E-01 6.0000E-02
 1.8900E+01 1.5000E+02 1.0000E-01 7.0000E-02
 1.9580E+01 3.0000E+01 1.6000E+00 4.0000E-01
 1.9580E+01 6.0000E+01 6.0000E-01 1.5000E-01
 1.9580E+01 9.0000E+01 4.0000E-01 1.1000E-01
 1.9580E+01 1.2000E+02 2.0000E-01 6.0000E-02
 1.9580E+01 1.5000E+02 1.0000E-01 5.0000E-02
 2.0300E+01 3.0000E+01 1.4000E+00 3.5000E-01
 2.0300E+01 6.0000E+01 5.0000E-01 1.3000E-01
 2.0300E+01 9.0000E+01 3.6000E-01 1.0000E-01
 2.0300E+01 1.2000E+02 2.0000E-01 6.0000E-02
 2.0300E+01 1.5000E+02 5.0000E-02 2.0000E-02
 2.1060E+01 3.0000E+01 1.0000E+00 2.5000E-01
 2.1060E+01 6.0000E+01 3.8000E-01 1.0000E-01
 2.1060E+01 9.0000E+01 3.0000E-01 9.0000E-02
 2.1060E+01 1.2000E+02 1.5000E-01 5.0000E-02
 2.1060E+01 1.5000E+02 4.0000E-02 3.0000E-02
 2.1870E+01 3.0000E+01 9.5000E-01 2.4000E-01
 2.1870E+01 6.0000E+01 3.0000E-01 8.0000E-02
 2.1870E+01 9.0000E+01 2.5000E-01 8.0000E-02
 2.1870E+01 1.2000E+02 2.0000E-01 7.0000E-02
 2.1870E+01 1.5000E+02 5.0000E-02 5.0000E-02
 2.2720E+01 3.0000E+01 6.0000E-01 1.5000E-01
 2.2720E+01 6.0000E+01 2.5000E-01 6.0000E-02
 2.2720E+01 9.0000E+01 2.5000E-01 7.0000E-02
 2.2720E+01 1.2000E+02 1.0000E-01 5.0000E-02
 2.2720E+01 1.5000E+02 1.0000E-02 1.0000E-02
 2.3630E+01 3.0000E+01 5.0000E-01 1.3000E-01
 2.3630E+01 6.0000E+01 2.5000E-01 7.0000E-02
 2.3630E+01 9.0000E+01 1.8000E-01 7.0000E-02
 2.3630E+01 1.2000E+02 1.0000E-01 4.0000E-02
 2.4590E+01 3.0000E+01 2.7000E-01 7.0000E-02
 2.4590E+01 6.0000E+01 1.4000E-01 4.0000E-02
 2.4590E+01 9.0000E+01 1.7000E-01 1.1000E-01
 2.4590E+01 1.2000E+02 8.0000E-02 3.0000E-02
 2.5620E+01 3.0000E+01 2.4000E-01 6.0000E-02
 2.5620E+01 6.0000E+01 1.1000E-01 3.0000E-02
 2.5620E+01 9.0000E+01 1.5000E-01 1.1000E-01
 2.5620E+01 1.2000E+02 7.0000E-02 2.0000E-02
 2.6700E+01 3.0000E+01 1.6000E-01 4.0000E-02
 2.6700E+01 6.0000E+01 9.0000E-02 3.0000E-02
 2.6700E+01 9.0000E+01 1.2000E-01 9.0000E-02
 2.6700E+01 1.2000E+02 8.0000E-02 4.0000E-02
 2.7820E+01 3.0000E+01 1.4000E-01 4.0000E-02
 2.7820E+01 6.0000E+01 8.0000E-02 2.0000E-02
 2.7820E+01 9.0000E+01 6.0000E-02 4.0000E-02
 2.7820E+01 1.2000E+02 5.0000E-02 2.0000E-02
 2.9110E+01 3.0000E+01 1.2000E-01 3.0000E-02
 2.9110E+01 6.0000E+01 7.0000E-02 2.0000E-02
 2.9110E+01 9.0000E+01 7.0000E-02 6.0000E-02
 3.0430E+01 3.0000E+01 9.0000E-02 2.0000E-02
