      111.7      112.2      1.145
      112.2      112.7     0.8824
      112.7      113.2     0.6337
      113.2      113.7     0.4111
      113.7      114.2     0.1939
      114.2      114.7 7.0817E-02
      114.7      115.2 2.8411E-02
      115.2      115.7 3.3843E-02
      115.7      116.2 1.6241E-02
      116.2      116.7 9.2991E-03
      116.7      117.2 6.8227E-03
      117.2      117.7 1.5977E-02
      117.7      118.2 4.5192E-02
      118.2      118.7 9.0250E-03
      118.7      119.2 4.1795E-02
      119.2      119.7 3.1779E-02
      119.7      120.2 2.7004E-02
ENDDATA            183
EN         ANG
MEV        ADEG
       120.        24.
ENDCOMMON            3
DATA                 3        181
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      3.307
      30.25      30.75      3.040
      30.75      31.25      3.125
      31.25      31.75      3.053
      31.75      32.25      3.206
      32.25      32.75      3.046
      32.75      33.25      2.922
      33.25      33.75      3.122
      33.75      34.25      3.052
      34.25      34.75      2.967
      34.75      35.25      3.202
      35.25      35.75      3.187
      35.75      36.25      3.133
      36.25      36.75      3.183
      36.75      37.25      3.387
      37.25      37.75      3.181
      37.75      38.25      3.446
      38.25      38.75      3.383
      38.75      39.25      3.299
      39.25      39.75      3.455
      39.75      40.25      3.305
      40.25      40.75      3.299
      40.75      41.25      3.146
      41.25      41.75      3.205
      41.75      42.25      3.143
      42.25      42.75      2.956
      42.75      43.25      3.165
      43.25      43.75      3.223
      43.75      44.25      3.007
      44.25      44.75      2.925
      44.75      45.25      3.054
      45.25      45.75      2.922
      45.75      46.25      2.837
      46.25      46.75      2.902
      46.75      47.25      2.822
      47.25      47.75      2.976
      47.75      48.25      2.815
      48.25      48.75      2.676
      48.75      49.25      2.783
      49.25      49.75      2.719
      49.75      50.25      2.771
      50.25      50.75      2.743
      50.75      51.25      2.694
      51.25      51.75      2.777
      51.75      52.25      2.875
      52.25      52.75      2.804
      52.75      53.25      2.734
      53.25      53.75      2.637
      53.75      54.25      2.755
      54.25      54.75      2.764
      54.75      55.25      2.903
      55.25      55.75      2.806
      55.75      56.25      2.725
      56.25      56.75      2.774
      56.75      57.25      2.790
      57.25      57.75      2.714
      57.75      58.25      2.766
      58.25      58.75      2.733
      58.75      59.25      2.706
      59.25      59.75      2.748
      59.75      60.25      2.736
      60.25      60.75      2.799
      60.75      61.25      2.672
      61.25      61.75      2.983
      61.75      62.25      2.838
      62.25      62.75      2.757
      62.75      63.25      2.865
      63.25      63.75      2.917
      63.75      64.25      2.823
      64.25      64.75      2.872
      64.75      65.25      2.747
      65.25      65.75      2.832
      65.75      66.25      2.851
      66.25      66.75      2.830
      66.75      67.25      2.718
      67.25      67.75      2.753
      67.75      68.25      2.716
      68.25      68.75      2.990
      68.75      69.25      2.808
      69.25      69.75      2.948
      69.75      70.25      2.835
      70.25      70.75      2.830
      70.75      71.25      2.893
      71.25      71.75      2.782
      71.75      72.25      2.793
      72.25      72.75      2.835
      72.75      73.25      2.887
      73.25      73.75      2.804
      73.75      74.25      2.796
      74.25      74.75      2.788
      74.75      75.25      2.772
      75.25      75.75      2.771
      75.75      76.25      2.793
      76.25      76.75      2.767
      76.75      77.25      2.816
      77.25      77.75      2.671
      77.75      78.25      2.788
      78.25      78.75      2.724
      78.75      79.25      2.790
      79.25      79.75      2.719
      79.75      80.25      2.763
      80.25      80.75      2.732
      80.75      81.25      2.676
      81.25      81.75      2.818
      81.75      82.25      2.736
      82.25      82.75      2.656
      82.75      83.25      2.575
      83.25      83.75      2.559
      83.75      84.25      2.592
      84.25      84.75      2.471
      84.75      85.25      2.469
      85.25      85.75      2.367
      85.75      86.25      2.402
      86.25      86.75      2.402
      86.75      87.25      2.338
      87.25      87.75      2.292
      87.75      88.25      2.383
      88.25      88.75      2.138
      88.75      89.25      2.137
      89.25      89.75      2.105
      89.75      90.25      2.037
      90.25      90.75      2.045
      90.75      91.25      1.999
      91.25      91.75      1.845
      91.75      92.25      1.879
      92.25      92.75      1.904
      92.75      93.25      1.916
      93.25      93.75      1.858
      93.75      94.25      1.815
      94.25      94.75      1.701
      94.75      95.25      1.678
      95.25      95.75      1.579
      95.75      96.25      1.554
      96.25      96.75      1.587
      96.75      97.25      1.574
      97.25      97.75      1.510
      97.75      98.25      1.407
      98.25      98.75      1.355
      98.75      99.25      1.402
      99.25      99.75      1.354
      99.75      100.2      1.232
      100.2      100.7      1.197
      100.7      101.2      1.171
      101.2      101.7      1.169
      101.7      102.2      1.077
      102.2      102.7     0.9837
      102.7      103.2     0.9207
      103.2      103.7     0.9447
      103.7      104.2     0.7659
      104.2      104.7     0.8307
      104.7      105.2     0.8238
      105.2      105.7     0.7436
      105.7      106.2     0.7381
      106.2      106.7     0.6534
      106.7      107.2     0.5658
      107.2      107.7     0.5328
      107.7      108.2     0.5724
      108.2      108.7     0.5573
      108.7      109.2     0.5138
      109.2      109.7     0.5568
      109.7      110.2     0.4471
      110.2      110.7     0.4841
      110.7      111.2     0.5344
      111.2      111.7     0.5380
      111.7      112.2     0.5813
      112.2      112.7     0.3839
      112.7      113.2     0.2682
      113.2      113.7     0.1259
      113.7      114.2 7.6304E-02
      114.2      114.7 2.7874E-02
      114.7      115.2 2.2588E-02
      115.2      115.7 2.7228E-02
      115.7      116.2 2.0054E-02
      116.2      116.7 1.0372E-02
      116.7      117.2 1.0648E-02
      117.2      117.7 1.1459E-02
      117.7      118.2 8.8238E-03
      118.2      118.7 1.1619E-02
      118.7      119.2 1.6658E-02
      119.2      119.7 2.3429E-02
      119.7      120.2 1.1653E-02
ENDDATA            183
EN         ANG
MEV        ADEG
       120.        35.
ENDCOMMON            3
DATA                 3        180
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      3.229
      30.25      30.75      2.970
      30.75      31.25      2.830
      31.25      31.75      2.880
      31.75      32.25      2.888
